Final SCORE : 16
         99824893 function calls (98455940 primitive calls) in 137.241 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1842    0.001    0.000    0.001    0.000 sre_parse.py:149(append)
     1196    0.001    0.000    0.001    0.000 sre_parse.py:92(__init__)
      225    0.001    0.000    0.005    0.000 transforms.py:1860(scale)
       56    0.001    0.000    0.001    0.000 transforms.py:1798(rotate)
       67    0.001    0.000    0.001    0.000 cm.py:34(revcmap)
       24    0.001    0.000    0.001    0.000 {built-in method globalsetvar}
      445    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        1    0.001    0.001    0.001    0.001 {built-in method RendererAgg}
        1    0.001    0.001    0.682    0.682 font_manager.py:21(<module>)
        1    0.001    0.001    0.003    0.003 cm.py:6(<module>)
      402    0.001    0.000    0.001    0.000 font_manager.py:335(weight_as_number)
   134/79    0.001    0.000    0.002    0.000 transforms.py:2274(get_affine)
      107    0.001    0.000    0.002    0.000 font_manager.py:654(__init__)
      450    0.001    0.000    0.001    0.000 _weakrefset.py:26(__exit__)
       97    0.001    0.000    0.002    0.000 transforms.py:774(__init__)
      390    0.001    0.000    0.001    0.000 {repr}
      130    0.001    0.000    0.035    0.000 sre_parse.py:706(parse)
        1    0.001    0.001    0.003    0.003 rcsetup.py:15(<module>)
     1291    0.001    0.000    0.001    0.000 core.py:5960(isMaskedArray)
      928    0.001    0.000    0.002    0.000 genericpath.py:23(exists)
      220    0.001    0.000    0.001    0.000 artist.py:745(update)
      824    0.001    0.000    0.001    0.000 artist.py:235(pchanged)
       11    0.001    0.000    0.010    0.001 artist.py:1036(pprint_setters)
        6    0.001    0.000    0.002    0.000 __init__.py:990(_rc_params_in_file)
        1    0.001    0.001    0.004    0.004 patches.py:3(<module>)
        1    0.001    0.001    0.002    0.002 utils.py:5(<module>)
       23    0.001    0.000    0.015    0.001 backend_bases.py:1395(__init__)
       52    0.001    0.000    0.001    0.000 font_manager.py:1150(score_stretch)
        1    0.001    0.001    0.001    0.001 cbook.py:7(<module>)
      816    0.000    0.000    0.000    0.000 __init__.py:335(ge)
        1    0.000    0.000    0.001    0.001 afm.py:34(<module>)
     2024    0.000    0.000    0.000    0.000 version.py:254(<genexpr>)
        1    0.000    0.000    0.002    0.002 font_manager.py:1210(findfont)
       23    0.000    0.000    0.012    0.001 patches.py:629(contains)
      741    0.000    0.000    0.001    0.000 weakref.py:262(__new__)
      256    0.000    0.000    0.027    0.000 __init__.py:2826(_reload_version)
       36    0.000    0.000    0.004    0.000 backend_agg.py:265(_get_agg_font)
      499    0.000    0.000    0.004    0.000 __init__.py:853(__setitem__)
       98    0.000    0.000    0.001    0.000 font_manager.py:785(get_size_in_points)
      142    0.000    0.000    0.543    0.004 afm.py:323(parse_afm)
       32    0.000    0.000    0.001    0.000 transforms.py:400(_get_bounds)
       30    0.000    0.000    0.001    0.000 __init__.py:3051(_get_mro)
      376    0.000    0.000    0.005    0.000 transforms.py:126(invalidate)
      319    0.000    0.000    0.001    0.000 colors.py:265(to_rgb)
        1    0.000    0.000    0.001    0.001 rrule.py:6(<module>)
     1459    0.000    0.000    0.001    0.000 artist.py:991(is_alias)
     1165    0.000    0.000    0.001    0.000 six.py:598(iteritems)
        1    0.000    0.000    0.006    0.006 feedparser.py:20(<module>)
       28    0.000    0.000    0.053    0.002 __init__.py:668(add_entry)
     1773    0.000    0.000    0.000    0.000 {method 'rfind' of 'unicode' objects}
        1    0.000    0.000    0.002    0.002 numeric.py:1(<module>)
      967    0.000    0.000    0.002    0.000 posixpath.py:97(splitext)
        1    0.000    0.000    0.001    0.001 index_tricks.py:1(<module>)
        1    0.000    0.000    0.049    0.049 figure.py:998(draw)
       87    0.000    0.000    0.002    0.000 text.py:160(__init__)
       52    0.000    0.000    0.001    0.000 font_manager.py:1091(score_family)
        1    0.000    0.000    0.001    0.001 npyio.py:1(<module>)
       74    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
      816    0.000    0.000    0.001    0.000 __init__.py:303(report)
        4    0.000    0.000    0.083    0.021 font_manager.py:294(findSystemFonts)
      412    0.000    0.000    0.001    0.000 __init__.py:1674(_fn)
        1    0.000    0.000    0.004    0.004 _internal.py:6(<module>)
     1373    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      272    0.000    0.000    0.001    0.000 function_base.py:3511(add_newdoc)
       19    0.000    0.000    0.004    0.000 text.py:524(draw)
       85    0.000    0.000    0.000    0.000 font_manager.py:851(set_weight)
      450    0.000    0.000    0.001    0.000 _weakrefset.py:20(__enter__)
      768    0.000    0.000    0.001    0.000 __init__.py:2484(<lambda>)
        2    0.000    0.000    0.000    0.000 {posix.urandom}
     70/1    0.000    0.000    0.049    0.049 artist.py:57(draw_wrapper)
        1    0.000    0.000    0.001    0.001 case.py:1(<module>)
        1    0.000    0.000    0.004    0.004 backend_tkagg.py:2(<module>)
        1    0.000    0.000    0.004    0.004 message.py:5(<module>)
        2    0.000    0.000    0.004    0.002 __init__.py:7(<module>)
      957    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      686    0.000    0.000    0.003    0.000 {method 'all' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.002    0.002 urllib2.py:76(<module>)
    37/25    0.000    0.000    0.107    0.004 Tkinter.py:1534(__call__)
        1    0.000    0.000    0.028    0.028 surfarray.py:60(<module>)
        1    0.000    0.000    0.000    0.000 triangulation.py:1(<module>)
       90    0.000    0.000    0.000    0.000 rcsetup.py:77(validate_bool)
        1    0.000    0.000    0.001    0.001 core.py:21(<module>)
      184    0.000    0.000    0.003    0.000 cbook.py:1118(dedent)
        1    0.000    0.000    0.001    0.001 subprocess.py:387(<module>)
      257    0.000    0.000    0.017    0.000 {next}
    237/1    0.000    0.000    0.002    0.002 pickle.py:269(save)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        1    0.000    0.000    0.001    0.001 Queue.py:1(<module>)
        1    0.000    0.000    0.003    0.003 decimal.py:116(<module>)
        1    0.000    0.000    0.000    0.000 sprite.py:66(<module>)
      130    0.000    0.000    0.000    0.000 pyparsing.py:807(__init__)
       23    0.000    0.000    0.018    0.001 backend_tkagg.py:379(motion_notify_event)
        1    0.000    0.000    0.002    0.002 pyplot.py:2095(_setup_pyplot_info_docstrings)
       37    0.000    0.000    0.001    0.000 Tkinter.py:1186(nametowidget)
        1    0.000    0.000    0.001    0.001 utils.py:4(<module>)
      518    0.000    0.000    0.000    0.000 weakref.py:48(remove)
      485    0.000    0.000    0.000    0.000 {_codecs.charmap_decode}
        1    0.000    0.000    0.679    0.679 font_manager.py:1013(__init__)
       23    0.000    0.000    0.001    0.000 abc.py:86(__new__)
      296    0.000    0.000    0.000    0.000 sre_parse.py:268(_escape)
        1    0.000    0.000    0.000    0.000 zipfile.py:433(_GenerateCRCTable)
        1    0.000    0.000    0.001    0.001 mlab.py:176(<module>)
       62    0.000    0.000    0.001    0.000 font_manager.py:700(__hash__)
      132    0.000    0.000    0.003    0.000 transforms.py:1682(inverted)
       77    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      178    0.000    0.000    0.003    0.000 transforms.py:2350(composite_transform_factory)
  168/128    0.000    0.000    0.008    0.000 spines.py:389(get_spine_transform)
      190    0.000    0.000    0.001    0.000 sre_parse.py:236(_class_escape)
     1586    0.000    0.000    0.000    0.000 {method 'strip' of 'unicode' objects}
      686    0.000    0.000    0.003    0.000 _methods.py:40(_all)
        1    0.000    0.000    0.001    0.001 parser.py:7(<module>)
      423    0.000    0.000    0.000    0.000 six.py:595(itervalues)
       12    0.000    0.000    0.002    0.000 backend_agg.py:180(draw_text)
      142    0.000    0.000    0.001    0.000 afm.py:67(_to_list_of_ints)
      302    0.000    0.000    0.002    0.000 re.py:148(sub)
      121    0.000    0.000    0.000    0.000 lines.py:919(set_linestyle)
       32    0.000    0.000    0.000    0.000 cbook.py:1393(popall)
      142    0.000    0.000    0.001    0.000 afm.py:83(_sanity_check)
